Hostname;Address;Client;Time
b'facebook.com';b'157.240.7.35';('192.168.56.102', 55006);Wed Dec 16 11:19:34 2020
b'google.com';b'172.217.174.206';('192.168.56.102', 45491);Sat Dec 19 05:56:24 2020
b'facebook.com';b'157.240.211.35';('192.168.56.102', 45491);Sat Dec 19 05:56:40 2020
b'1';b'0.0.0.1';('192.168.56.102', 45491);Sat Dec 19 05:56:59 2020
b'123';b'0.0.0.123';('192.168.56.102', 45491);Sat Dec 19 05:57:04 2020
b'0';b'0.0.0.0';('192.168.56.102', 45491);Sat Dec 19 05:57:18 2020
b'google.com';b'172.217.174.206';('192.168.56.102', 33372);Sat Dec 19 05:59:51 2020
b'0';b'0.0.0.0';('192.168.56.102', 33372);Sat Dec 19 05:59:56 2020
b'google.com';b'172.217.174.206';('192.168.56.102', 41642);Sat Dec 19 06:03:18 2020
b'192.168.0.1';b'192.168.0.1';('192.168.56.102', 41642);Sat Dec 19 06:03:26 2020
b'google.com';b'172.217.174.206';('192.168.56.102', 32985);Sat Dec 19 06:04:44 2020
b'en.wikipedia.org';b'103.102.166.224';('192.168.56.102', 32985);Sat Dec 19 06:04:54 2020
b'wikipedia.org';b'103.102.166.224';('192.168.56.102', 32985);Sat Dec 19 06:05:01 2020
b'google.com';b'172.217.174.206';('192.168.56.102', 35784);Sat Dec 19 06:11:32 2020
b'0';b'0.0.0.0';('192.168.56.102', 35784);Sat Dec 19 06:11:33 2020
b'0';b'0.0.0.0';('192.168.56.102', 35784);Sat Dec 19 06:11:39 2020
b'google.com';b'172.217.174.206';('192.168.56.102', 60903);Sat Dec 19 06:12:05 2020
b'0';b'0.0.0.0';('192.168.56.102', 60903);Sat Dec 19 06:12:07 2020
b'0';b'0.0.0.0';('192.168.56.102', 60903);Sat Dec 19 06:12:11 2020
b'google.com';b'172.217.174.206';('192.168.56.102', 35561);Sat Dec 19 06:55:52 2020
b'';b'0.0.0.0';('192.168.56.102', 40076);Sat Dec 19 07:09:54 2020
b'google.com';b'172.217.24.78';('192.168.56.102', 38484);Sat Dec 19 07:40:42 2020
b'google.com';b'172.217.24.78';('192.168.56.102', 51075);Sat Dec 19 07:48:32 2020
b'facebook.com';b'157.240.211.35';('192.168.56.103', 48406);Sat Dec 19 07:48:38 2020
